Model,Type,Train/Test,R²,MSE,MAE,RMSE,Max Error,RSE,RAE,Huber Loss,Adjusted R²
Bagging,Linear MLP,Train,76.37032612201989,20.21252176651335,34.745995011012106,4.4958338232760955,2.5787155046881387,23.629673877980103,46.244760503362734,9.888884226724691,-22.630168481305656
Bagging,Linear MLP,Test,76.6264491759292,19.971776327448946,34.601034530216964,4.468979338445071,2.460690296156108,23.37355082407081,46.064542293208575,9.790528068281652,-22.37501864313787
Boosting,Linear MLP,Train,83.70632405551099,13.937402665188682,28.055590312463018,3.733283094702126,2.4700051182765597,16.29367594448902,37.34024754131005,6.839225620255821,-15.294016994744254
Boosting,Linear MLP,Test,83.75580572517039,13.88002264261963,28.040913361472608,3.7255902408369646,2.4216581322186173,16.244194274829603,37.331017902130135,6.81265080997882,-15.245214382483148
Stacking,Linear MLP,Train,88.96245865184827,9.441372145055546,23.28766598294116,3.0726815886218257,1.9335640789747175,11.037541348151732,30.994436501879058,4.689116200272505,-10.0377723798911
Stacking,Linear MLP,Test,88.08008347476189,10.185098039907324,24.296511252422455,3.191410039450795,1.8836083736841447,11.919916525238104,32.346075351800025,5.058003959527167,-10.92066507563532
Voting,Linear MLP,Train,85.95037262096038,12.017872133007833,26.309622119851213,3.4666802755673665,2.155179552421463,14.049627379039617,35.01647235835062,5.9471354340873415,-13.049921458105638
Voting,Linear MLP,Test,85.52972171094957,12.364281471826576,26.78921414538512,3.516288024583108,2.119469700763678,14.470278289050418,35.66462404250479,6.1188693386778645,-13.471186997810104
,,,,,,,,,,,
Bagging,Linear KNeighbors,Train,76.36966740829027,20.213085221839343,34.748729045954754,4.495896487002269,2.5778007939717793,23.63033259170973,46.24839933399892,9.889469503310183,-22.630827208823117
Bagging,Linear KNeighbors,Test,76.62786670960435,19.970565100891623,34.60181829778765,4.468843821492492,2.4583380192992332,23.372133290395645,46.0655857271665,9.790155813864567,-22.373601020444028
Boosting,Linear KNeighbors,Train,83.70632405551098,13.937402665188687,28.055590312463018,3.7332830947021267,2.4700051182765606,16.29367594448902,37.34024754131005,6.839225620255821,-15.294016994744275
Boosting,Linear KNeighbors,Test,83.75600626493832,13.879851289305797,28.04022716564206,3.7255672439651115,2.421658132218618,16.24399373506168,37.33010436595162,6.812565133321903,-15.245013830121653
Stacking,Linear KNeighbors,Train,95.51569152393398,3.8358202973215376,12.82623291934652,1.9585250310684155,2.1064186217750396,4.484308476066014,17.070919089453046,1.909694404281626,-3.484402339142445
Stacking,Linear KNeighbors,Test,92.6006244361812,6.322474271696585,17.193124434656298,2.5144530760578103,1.7886466616618377,7.3993755638187855,22.889298497158453,3.14294508617287,-6.399840231965224
Voting,Linear KNeighbors,Train,90.38368362201031,8.225674425618031,21.73154872877283,2.8680436582482547,2.158821715924619,9.616316377989689,28.923341122070312,4.094265441915621,-8.616517661430356
Voting,Linear KNeighbors,Test,88.67862063274129,9.673671670298104,23.53371556695162,3.11025266984824,1.8694946082915238,11.321379367258725,31.33056137681287,4.810108966244713,-10.322090330544771
,,,,,,,,,,,
Bagging,Linear DecisionTree,Train,76.37062732254829,20.21226412342155,34.75179362306045,4.495805169646651,2.5743764633254904,23.629372677451713,46.25247809571669,9.889248100707384,-22.629867274472694
Bagging,Linear DecisionTree,Test,76.62710463944275,19.9712162597561,34.6063680077589,4.468916676304907,2.4656403158213758,23.37289536055725,46.07164278038003,9.790690021888306,-22.37436313846234
Boosting,Linear DecisionTree,Train,83.70632405551098,13.937402665188687,28.055590312463018,3.7332830947021267,2.470005118276561,16.29367594448902,37.34024754131005,6.839225620255821,-15.294016994744275
Boosting,Linear DecisionTree,Test,83.75580572517039,13.880022642619632,28.040913361472615,3.7255902408369646,2.421658132218619,16.244194274829606,37.33101790213015,6.812650809978822,-15.245214382483148
Stacking,Linear DecisionTree,Train,99.51988858197734,0.41068118575169005,4.966290748078642,0.6408441196981447,0.36721412988666513,0.48011141802266,6.609824417524232,0.20534059287584502,0.5198785325494428
Stacking,Linear DecisionTree,Test,94.94177464069749,4.322053856951189,10.059047243184578,2.0789549915645575,2.6736653668429406,5.058225359302513,13.391663383891132,2.0796827786424164,-4.058543007215056
Voting,Linear DecisionTree,Train,94.09280302226261,5.052940980402776,17.377322643030045,2.247874769733131,1.2883372343895843,5.907196977737379,23.1281367409941,2.525823204881995,-4.907320623932626
Voting,Linear DecisionTree,Test,91.57211977929836,7.2012908928258845,19.711666105152098,2.6835221058947667,2.118052300678446,8.427880220701633,26.242246490561538,3.564485567907939,-7.428409477183717
,,,,,,,,,,,
Bagging,Linear RandomForest,Train,76.37025330787927,20.212584050800896,34.753975626696665,4.495840750160185,2.5787183174695145,23.629746692120737,46.25538220698311,9.889622446545184,-22.630241296970386
Bagging,Linear RandomForest,Test,76.62302220176448,19.97470454156636,34.61186372084193,4.469306941972811,2.4620928507944475,23.376977798235504,46.078959252594856,9.792477073692831,-22.378445832510707
Boosting,Linear RandomForest,Train,83.70632405551098,13.937402665188687,28.055590312463018,3.7332830947021267,2.4700051182765606,16.29367594448902,37.34024754131005,6.839225620255821,-15.294016994744275
Boosting,Linear RandomForest,Test,83.75654753632152,13.879388794279723,28.03934539157218,3.7255051730308635,2.4216581322186186,16.243452463678477,37.32893045541725,6.812333885808866,-15.244472524747536
Stacking,Linear RandomForest,Train,99.70846324682961,0.24937682168717176,3.5623380077312543,0.49937643285118266,0.6396025463959639,0.29153675317038635,4.741250551246182,0.12468841084358588,0.7084571445427768
Stacking,Linear RandomForest,Test,98.24114419517214,1.502872840787287,7.105968304080415,1.2259171427087914,1.6059055307012404,1.758855804827866,9.460213601175797,0.7481260384490314,-0.7589662579680814
Voting,Linear RandomForest,Train,93.36349479901826,5.676781936183413,18.317087107122674,2.3825998271181446,1.4987043174272188,6.636505200981742,24.378904852765285,2.836669608902978,-5.636644112655237
Voting,Linear RandomForest,Test,91.92323485479086,6.9012769238011265,19.95339413035426,2.6270281543601937,1.6509002419805798,8.076765145209142,26.564060303112562,3.4426852074564356,-7.077272352264227
,,,,,,,,,,,
Bagging,MLP KNeighbors,Train,90.2456243824473,8.343768538941191,21.525490368442405,2.8885582111048396,1.9418033238532943,9.75437561755269,28.649090247396096,4.142865244860179,-8.754579790773372
Bagging,MLP KNeighbors,Test,89.38410375607121,9.070864195816075,22.6030759791995,3.011787541613132,1.8752526101013947,10.615896243928793,30.091595917202003,4.502651462201512,-9.616562904079753
