model,Combination,Train/Test,R²,MAE,MSE,RMSE,Adj R²,Max Error,Huber Loss,RSE,RAE
Bagging,Linear MLP KNeighbors DecisionTree,Train,76.37013586162816,34.748838897424086,20.212684512826705,4.495851922920361,0.7635924971573369,2.5773696251733904,9.889493658160193,23.629864138371843,46.24854553947925
Bagging,Linear MLP KNeighbors DecisionTree,Test,76.62207379767932,34.60613452993015,19.975514915411555,4.469397600953797,0.7658973308357186,2.460474265236913,9.792959725721486,23.377926202320676,46.07133195009813
Boosting,Linear MLP KNeighbors DecisionTree,Train,83.70632405551098,28.055590312463018,13.937402665188687,3.7332830947021267,0.8369881765037677,2.4700051182765606,6.839225620255821,16.29367594448902,37.34024754131005
Boosting,Linear MLP KNeighbors DecisionTree,Test,83.75576613199273,28.041283066919515,13.880056473426702,3.725594781162694,0.8373329407357003,2.421658132218619,6.812667725382355,16.244233868007274,37.33151009296854
Stacking,Linear MLP KNeighbors DecisionTree,Train,99.32288522678198,5.316921816610401,0.5791953440733231,0.7610488447355551,0.9932257328380315,0.7445853431613789,0.28959767203666154,0.677114773218026,7.076492584147475
Stacking,Linear MLP KNeighbors DecisionTree,Test,96.00767067456967,10.359160359578805,3.411287780498339,1.8469671844671034,0.9600214773895,2.1014427780262483,1.6751183286842761,3.992329325430328,13.79120558055047
Voting,Linear MLP KNeighbors DecisionTree,Train,95.01199580689948,15.559921772255603,4.266675191757767,2.0655931815722495,0.9500969786133998,1.4797570294593014,2.132037562772562,4.988004193100528,20.709289101692637
Voting,Linear MLP KNeighbors DecisionTree,Test,93.16951286099864,17.855497186493015,5.836381573961168,2.415860421042815,0.931600636553734,1.9910870466299375,2.9060962672431545,6.830487139001357,23.77111888360399
,,,,,,,,,,,
Bagging,Linear MLP KNeighbors RandomForest,Train,76.37061636911004,34.75511460554106,20.21227349285298,4.495806211665821,0.7635973044458267,2.5775236699668262,9.889316837759578,23.629383630889965,46.25689811705737
Bagging,Linear MLP KNeighbors RandomForest,Test,76.62797410675202,34.60895371885663,19.970473334269272,4.468833554102152,0.7659564155505414,2.4658374751301695,9.790080993847035,23.372025893247976,46.07508515139108
Boosting,Linear MLP KNeighbors RandomForest,Train,83.70632405551098,28.055590312463018,13.937402665188687,3.7332830947021267,0.8369881765037677,2.4700051182765606,6.839225620255821,16.29367594448902,37.34024754131005
Boosting,Linear MLP KNeighbors RandomForest,Test,83.75654753632152,28.03934539157218,13.879388794279723,3.7255051730308635,0.8373407655888325,2.421658132218619,6.812333885808866,16.243452463678477,37.32893045541725
Stacking,Linear MLP KNeighbors RandomForest,Train,99.70661009392298,3.5936726115340525,0.2509619850565616,0.5009610614175134,0.9970647493083855,0.7179080429233071,0.1254809925282808,0.29338990607701965,4.78295496200975
Stacking,Linear MLP KNeighbors RandomForest,Test,98.24271288858807,7.107964713539951,1.5015324541996709,1.2253703334909292,0.9824028188082532,1.7013419244090735,0.7475399104005394,1.757287111411923,9.462871431764736
Voting,Linear MLP KNeighbors RandomForest,Train,94.642132488353,16.013153400425452,4.583051558835869,2.1408062870880844,0.9463966414883681,1.6713114195068464,2.289384756855141,5.357867511647011,21.312512238362665
Voting,Linear MLP KNeighbors RandomForest,Test,93.07865996626903,18.087779595893487,5.91401178538683,2.43187413025157,0.9306908507595009,1.63523326466427,2.9513908917593223,6.921340033730969,24.080357697329408
,,,,,,,,,,,
Bagging,Linear MLP DecisionTree RandomForest,Train,76.37045672630313,34.758081950769636,20.21241004927462,4.49582139872956,0.7635957072822923,2.576083294294665,9.88982678579723,23.629543273696864,46.260847469187965
Bagging,Linear MLP DecisionTree RandomForest,Test,76.62524277833742,34.61411525894585,19.972807146559234,4.4690946674420795,0.7659290644815591,2.4659511464147235,9.79154399603991,23.37475722166258,46.08195673731231
Boosting,Linear MLP DecisionTree RandomForest,Train,83.70632405551098,28.055590312463018,13.937402665188687,3.7332830947021267,0.8369881765037677,2.4700051182765597,6.839225620255821,16.29367594448902,37.34024754131005
Boosting,Linear MLP DecisionTree RandomForest,Test,83.75654753632152,28.03934539157218,13.879388794279723,3.7255051730308635,0.8373407655888325,2.4216581322186186,6.812333885808866,16.243452463678477,37.32893045541725
Stacking,Linear MLP DecisionTree RandomForest,Train,99.75994426183146,3.2408329190067873,0.20534061781655708,0.4531452502416384,0.9975983366949911,0.5353580662921387,0.10267030890827854,0.2400557381685474,4.313347254075866
Stacking,Linear MLP DecisionTree RandomForest,Test,98.20432335504061,6.936726046682236,1.5343347948921866,1.2386826853121773,0.9820183923970457,1.6960372841453313,0.7627949782801741,1.7956766449593848,9.234900478907496
Voting,Linear MLP DecisionTree RandomForest,Train,96.21659184075176,13.651219728696065,3.2362791025089757,1.7989661204450116,0.962148488458298,1.1752169433658664,1.618012815187796,3.7834081592482387,18.168925274186332
Voting,Linear MLP DecisionTree RandomForest,Test,94.34699249954161,16.040979234530507,4.830271712943058,2.1977879135492255,0.9433917220368485,1.767776688391683,2.4046188522519296,5.653007500458386,21.355441431331034
,,,,,,,,,,,
Bagging,Linear KNeighbors DecisionTree RandomForest,Train,76.37034774134686,34.755800935215014,20.21250327361671,4.495831766605231,0.763594616930642,2.5783546803367643,9.889429251964211,23.62965225865315,46.25781157921001
Bagging,Linear KNeighbors DecisionTree RandomForest,Test,76.61848019791127,34.61540690243092,19.97858550452821,4.46974110039141,0.7658613451246538,2.464139047109224,9.79402834004636,23.38151980208873,46.083676309190835
Boosting,Linear KNeighbors DecisionTree RandomForest,Train,83.70632405551098,28.055590312463014,13.937402665188687,3.7332830947021267,0.8369881765037677,2.4700051182765606,6.839225620255821,16.29367594448902,37.34024754131004
Boosting,Linear KNeighbors DecisionTree RandomForest,Test,83.75654753632152,28.03934539157218,13.879388794279723,3.7255051730308635,0.8373407655888325,2.421658132218619,6.812333885808866,16.243452463678477,37.32893045541725
Stacking,Linear KNeighbors DecisionTree RandomForest,Train,99.74421048217526,3.389341761334156,0.2187990923351821,0.46775965231642425,0.9974409264137885,0.6257138701682917,0.10939954616759105,0.2557895178247349,4.511003295984704
Stacking,Linear KNeighbors DecisionTree RandomForest,Test,98.23995602818106,7.01111088091799,1.5038880825690872,1.226331147190304,0.9823752120661405,1.7108913860768657,0.7487961568969017,1.7600439718189518,9.333929406485767
Voting,Linear KNeighbors DecisionTree RandomForest,Train,97.34137948518993,11.369832090386433,2.274150092040576,1.5080285448361301,0.9734015467362805,1.1729879397273266,1.137029625019427,2.6586205148100595,15.132540075963504
Voting,Linear KNeighbors DecisionTree RandomForest,Test,95.31511275825939,14.37916386703588,4.003051175904606,2.000762648567942,0.9530863174717228,1.785848805926172,1.9940783054652702,4.684887241740611,19.14305774631119
,,,,,,,,,,,
Bagging,MLP KNeighbors DecisionTree RandomForest,Train,90.22423334096791,21.596099135174555,8.362066163095614,2.891723735610927,0.9021972970008969,1.9268400936067474,4.152040270971167,9.775766659032097,28.74306612881584
