Model,Train/Test,R²,MAE,MSE,RMSE,Adj R²,Max Error,Huber Loss,RSE,RAE
Linear,Train,76.37121208905047,34.75464528606009,20.21176392161111,4.495749539466262,0.7636032643896795,2.5766744687791707,9.889267617071907,23.628787910949523,46.2562734819882
Linear,Test,76.62502145431851,34.610828855139204,19.972996259194904,4.469115825215868,0.7659268481796028,2.4628952305424994,9.791672370506928,23.37497854568148,46.07758153035104
MLP,Train,89.21047327231346,23.05090337638015,9.229223600794938,3.0379637260498913,0.8920550259785668,2.083162836990512,4.584546312240924,10.789526727686532,30.67932018320418
MLP,Test,88.25233681820366,24.220455418429097,10.037914358969493,3.1682667752210345,0.8823608525623425,1.9921283862603052,4.985096650955214,11.747663181796336,32.24482181330906
KNeighbors,Train,95.58781096211979,12.210869236762042,3.774130249390844,1.9427120860773075,0.9558577829137318,2.1471950544530847,1.8783960785131564,4.412189037880211,16.25190826203056
KNeighbors,Test,92.57593399655353,16.838330567095287,6.343571277512354,2.518644730308813,0.9256566364177293,1.799001261839071,3.1522095671331622,7.424066003446475,22.416959524074787
DecisionTree,Train,100.0,9.38035280844795e-15,6.506001129636171e-30,2.550686403624752e-15,1.0,1.8318679906315083e-15,3.2530005648180856e-30,7.605913142306143e-30,1.2484666763068349e-14
DecisionTree,Test,94.49912905630241,6.31665138239769,4.700277031958353,2.1680122305832024,0.9449151922414739,2.9016149384501144,2.2110508665416044,5.50087094369759,8.409391762601967
RandomForest,Train,99.71529457819221,2.6827169180081576,0.2435333879362929,0.4934910211303676,0.9971516341600098,0.7370101943663292,0.12176669396814645,0.2847054218077848,3.5705295339013206
RandomForest,Test,98.08598720612105,7.041526755631239,1.6354483619091122,1.2788464966168192,0.9808333938612072,1.639412440224315,0.8148637433532444,1.914012793878948,9.37442222313522
