Bagging Combination: ('Linear', 'MLP', 'KNeighbors', 'DecisionTree') - Train Metrics: {'R²': 76.37013586162816, 'MAE': 34.748838897424086, 'MSE': 20.212684512826705, 'RMSE': 4.495851922920361, 'Adj R²': 0.7635924971573369, 'Max Error': 2.5773696251733904, 'Huber Loss': 9.889493658160193, 'RSE': 23.629864138371843, 'RAE': 46.24854553947925}
Bagging Combination: ('Linear', 'MLP', 'KNeighbors', 'DecisionTree') - Test Metrics: {'R²': 76.62207379767932, 'MAE': 34.60613452993015, 'MSE': 19.975514915411555, 'RMSE': 4.469397600953797, 'Adj R²': 0.7658973308357186, 'Max Error': 2.460474265236913, 'Huber Loss': 9.792959725721486, 'RSE': 23.377926202320676, 'RAE': 46.07133195009813}

Boosting Combination: ('Linear', 'MLP', 'KNeighbors', 'DecisionTree') - Train Metrics: {'R²': 83.70632405551098, 'MAE': 28.055590312463018, 'MSE': 13.937402665188687, 'RMSE': 3.7332830947021267, 'Adj R²': 0.8369881765037677, 'Max Error': 2.4700051182765606, 'Huber Loss': 6.839225620255821, 'RSE': 16.29367594448902, 'RAE': 37.34024754131005}
Boosting Combination: ('Linear', 'MLP', 'KNeighbors', 'DecisionTree') - Test Metrics: {'R²': 83.75576613199273, 'MAE': 28.041283066919515, 'MSE': 13.880056473426702, 'RMSE': 3.725594781162694, 'Adj R²': 0.8373329407357003, 'Max Error': 2.421658132218619, 'Huber Loss': 6.812667725382355, 'RSE': 16.244233868007274, 'RAE': 37.33151009296854}

Stacking Combination: ('Linear', 'MLP', 'KNeighbors', 'DecisionTree') - Train Metrics: {'R²': 99.32288522678198, 'MAE': 5.316921816610401, 'MSE': 0.5791953440733231, 'RMSE': 0.7610488447355551, 'Adj R²': 0.9932257328380315, 'Max Error': 0.7445853431613789, 'Huber Loss': 0.28959767203666154, 'RSE': 0.677114773218026, 'RAE': 7.076492584147475}
Stacking Combination: ('Linear', 'MLP', 'KNeighbors', 'DecisionTree') - Test Metrics: {'R²': 96.00767067456967, 'MAE': 10.359160359578805, 'MSE': 3.411287780498339, 'RMSE': 1.8469671844671034, 'Adj R²': 0.9600214773895, 'Max Error': 2.1014427780262483, 'Huber Loss': 1.6751183286842761, 'RSE': 3.992329325430328, 'RAE': 13.79120558055047}

Voting Combination: ('Linear', 'MLP', 'KNeighbors', 'DecisionTree') - Train Metrics: {'R²': 95.01199580689948, 'MAE': 15.559921772255603, 'MSE': 4.266675191757767, 'RMSE': 2.0655931815722495, 'Adj R²': 0.9500969786133998, 'Max Error': 1.4797570294593014, 'Huber Loss': 2.132037562772562, 'RSE': 4.988004193100528, 'RAE': 20.709289101692637}
Voting Combination: ('Linear', 'MLP', 'KNeighbors', 'DecisionTree') - Test Metrics: {'R²': 93.16951286099864, 'MAE': 17.855497186493015, 'MSE': 5.836381573961168, 'RMSE': 2.415860421042815, 'Adj R²': 0.931600636553734, 'Max Error': 1.9910870466299375, 'Huber Loss': 2.9060962672431545, 'RSE': 6.830487139001357, 'RAE': 23.77111888360399}

----------------------------------------
Bagging Combination: ('Linear', 'MLP', 'KNeighbors', 'RandomForest') - Train Metrics: {'R²': 76.37061636911004, 'MAE': 34.75511460554106, 'MSE': 20.21227349285298, 'RMSE': 4.495806211665821, 'Adj R²': 0.7635973044458267, 'Max Error': 2.5775236699668262, 'Huber Loss': 9.889316837759578, 'RSE': 23.629383630889965, 'RAE': 46.25689811705737}
